"X","logFC","AveExpr","t","P.Value","adj.P.Val","B","phrog","function.","product","annotation_method","bitscore","fident","evalue","qStart","qEnd","qLen","tStart","tEnd","tLen","annotation_source","tophit_protein","function_with_highest_bitscore_proportion","top_bitscore_proportion_not_unknown","head_and_packaging_bitscore_proportion","integration_and_excision_bitscore_proportion","tail_bitscore_proportion","moron_auxiliary_metabolic_gene_and_host_takeover_bitscore_proportion","DNA_RNA_and_nucleotide_metabolism_bitscore_proportion","connector_bitscore_proportion","transcription_regulation_bitscore_proportion","lysis_bitscore_proportion","other_bitscore_proportion","unknown_function_bitscore_proportion"
"edge_1291_133",0.0930749483202528,0.27314474928543,4.86700511040594,3.78726605043663e-05,0.000385153479090663,2.19371560551639,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_12",0.088802200417737,0.360361830462679,4.52663080680891,1.18930163984689e-05,0.000196990682633962,2.99559989003035,"30761","unknown function","hypothetical protein",NA,194,0.604,0.0001156,0,85,87,1,85,86,"foldseek","protein465085","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_13",0.0590104388540408,0.285413046013521,3.19790795552601,0.00345827566341619,0.0079664476875907,-2.05640560134358,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_14",0.0862552317450498,0.433977798481102,4.10638108314034,6.28462873115466e-05,0.000536247046101013,1.44279187772716,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_15",0.0655830178985385,0.211299571764595,5.70639617835526,8.40754065333476e-08,8.98105661328907e-06,7.68466680989088,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_16",0.0802499444335544,0.463397752536847,3.93692306173933,0.000121586660194023,0.00080556314355667,0.831584077920128,"16126","unknown function","hypothetical protein",NA,435,0.795,2.487e-11,0,121,123,0,121,124,"foldseek","protein148471","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_18",0.0743310505674991,0.230508070329779,4.58551859359963,3.79340213481466e-05,0.000385153479090663,2.07163223044713,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_23",0.0895586075878873,0.314072767156172,4.10049989561693,7.44807596350129e-05,0.000595389139904428,1.2973051980564,"2593","transcription regulation","anti-repressor",NA,1050,0.961,4.356e-26,0,155,159,0,155,157,"foldseek","protein804178","transcription regulation",0.991,0,0,0,0,0.006,0,0.991,0,0,0
"edge_1468_30",0.067119635774089,0.204845660459234,4.22512015301377,0.000127198136264838,0.000827714272923003,0.941491050641692,"18984","unknown function","hypothetical protein",NA,293,0.966,4.716e-07,0,58,60,0,58,59,"foldseek","protein468867","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_32",0.0982491147288177,0.405131033364551,4.45752042330824,1.597099832993e-05,0.000230877321641763,2.71815809403713,"62","DNA, RNA and nucleotide metabolism","DNA helicase",NA,2460,0.917,1.5e-59,0,403,418,0,403,404,"foldseek","protein120286","DNA, RNA and nucleotide metabolism",0.859,0.112,0,0,0.016,0.859,0,0,0,0.012,0
"edge_1468_33",0.0841948605323135,0.230806808037457,3.99763187492974,0.000121425524059205,0.00080556314355667,0.855329616406795,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_36",0.0898385332014477,0.398102255362562,3.71895090474892,0.000300190705060287,0.00144157919665929,0.0176366695717247,"4210","DNA, RNA and nucleotide metabolism","DNA polymerase",NA,2133,0.986,1.979e-45,440,887,889,0,447,448,"foldseek","protein305959_2","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_1468_37",0.0952405768418181,0.326879913013538,4.0860548460245,9.06479656345743e-05,0.000676546790029223,1.13937763688179,"4210","DNA, RNA and nucleotide metabolism","DNA polymerase",NA,988,0.995,1.203e-24,1,217,221,346,562,1000,"foldseek","protein305959_1","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_1468_38",0.0847463924160943,0.288117478560864,4.48286946638043,1.8471554538656e-05,0.000248832723906828,2.6110506277517,"4210","DNA, RNA and nucleotide metabolism","DNA polymerase",NA,1452,0.946,6.309e-36,0,300,303,0,297,1000,"foldseek","protein305962_1","DNA, RNA and nucleotide metabolism",0.978,0,0,0,0.015,0.978,0,0,0,0.006,0
"edge_1468_39",0.0910720322927243,0.31711055913387,3.519852675172,0.000783864272899806,0.00265752423483551,-0.813417431510174,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_40",0.0830889343276851,0.380694239086038,3.60341506166697,0.000507816056323892,0.00199148542987726,-0.443907044144247,"16983","unknown function","hypothetical protein",NA,377,0.985,2.09e-07,0,69,71,0,69,70,"foldseek","protein530060","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_41",0.0978170717392897,0.478777313467344,4.00200305198794,0.000124754922200567,0.000818233206177878,0.855125089816992,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_42",0.106157987389703,0.447034114851309,4.78081497168446,4.07423066504542e-06,0.000110598386594879,4.00013067351542,"4695","unknown function","hypothetical protein",NA,807,0.984,1.006e-20,0,197,199,0,197,198,"foldseek","protein756911","unknown function",0,0,0,0,0,0,0,0,0,0,0
