Row.names,phrog,function,product
edge_187_1,No_PHROG,unknown function,hypothetical protein
edge_187_2,44,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
edge_187_3,67,other,DNA methyltransferase
edge_187_4,755,DNA, RNA and nucleotide metabolism,RNA ligase
edge_187_5,No_PHROG,unknown function,hypothetical protein
edge_187_6,531,DNA, RNA and nucleotide metabolism,Rnase H
edge_187_8,No_PHROG,unknown function,hypothetical protein
edge_1980_3,10528,tail,major tail protein
edge_1990_4,3266,connector,tail completion
edge_2194_32,No_PHROG,unknown function,hypothetical protein
edge_2254_6,No_PHROG,unknown function,hypothetical protein
edge_295_56,No_PHROG,unknown function,hypothetical protein
edge_295_57,No_PHROG,unknown function,hypothetical protein
edge_295_58,30532,tail,tail protein
edge_295_61,350,tail,tail protein
edge_300_3,1110,lysis,endolysin
edge_303_12,21524,tail,tail protein with lysin activity
edge_303_4,No_PHROG,unknown function,hypothetical protein
edge_303_7,No_PHROG,unknown function,hypothetical protein
edge_305_3,30532,tail,tail protein
edge_306_3,30532,tail,tail protein
edge_311_10,No_PHROG,unknown function,hypothetical protein
edge_311_11,No_PHROG,unknown function,hypothetical protein
edge_311_12,16343,connector,head-tail adaptor
edge_311_13,267,head and packaging,major head protein
edge_311_14,9953,head and packaging,major head protein
edge_311_15,No_PHROG,unknown function,hypothetical protein
edge_311_16,No_PHROG,unknown function,hypothetical protein
edge_311_17,No_PHROG,unknown function,hypothetical protein
edge_311_18,No_PHROG,unknown function,hypothetical protein
edge_311_19,No_PHROG,unknown function,hypothetical protein
edge_311_20,No_PHROG,unknown function,hypothetical protein
edge_311_8,No_PHROG,unknown function,hypothetical protein
edge_311_9,No_PHROG,unknown function,hypothetical protein
edge_48666_1,2,head and packaging,terminase large subunit
edge_48666_2,115,head and packaging,minor head protein
edge_48666_3,No_PHROG,unknown function,hypothetical protein
edge_61_27,21297,unknown function,hypothetical protein
edge_61_33,2729,head and packaging,virion structural protein
edge_957_36,No_PHROG,unknown function,hypothetical protein
edge_959_24,No_PHROG,unknown function,hypothetical protein
edge_965_27,No_PHROG,unknown function,hypothetical protein
edge_965_7,No_PHROG,unknown function,hypothetical protein
virus_comp_103_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_103_cycle_1_3,5302,tail,tail protein
virus_comp_103_cycle_1_4,215,head and packaging,structural protein with Ig domain
virus_comp_104_cycle_1_1,5302,tail,tail protein
virus_comp_10599_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_2,6370,DNA, RNA and nucleotide metabolism,dsDNA binding protein
virus_comp_1102_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_10,2006,head and packaging,major head protein
virus_comp_1103_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_1105_cycle_1_1,8780,tail,minor tail protein
virus_comp_1105_cycle_1_2,1067,head and packaging,minor head protein
virus_comp_1133_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_1133_cycle_1_2,14995,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
virus_comp_1133_cycle_1_3,1907,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_1133_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1133_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1133_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_1173_cycle_1_5,119,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_12035_cycle_1_2,36964,head and packaging,terminase large subunit
virus_comp_12691_cycle_1_3,10,head and packaging,major head protein
virus_comp_13180_cycle_1_1,5302,tail,tail protein
virus_comp_1392_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_14463_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_14513_cycle_1_1,2,head and packaging,terminase large subunit
virus_comp_14666_cycle_1_1,5,connector,tail completion or Neck1 protein
virus_comp_14666_cycle_1_2,939,head and packaging,head protein
virus_comp_14666_cycle_1_3,749,unknown function,hypothetical protein
virus_comp_14703_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_14858_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_15100_cycle_1_1,14985,head and packaging,virion structural protein
virus_comp_15228_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_15228_cycle_1_2,7,lysis,endolysin
virus_comp_15228_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_16559_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_16559_cycle_1_2,205,tail,tail sheath
virus_comp_16559_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1727_cycle_1_2,4542,tail,tail tube protein
virus_comp_17783_cycle_1_5,4321,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_17783_cycle_1_6,4259,unknown function,hypothetical protein
virus_comp_17798_cycle_1_1,4646,integration and excision,transposase
virus_comp_17808_cycle_1_3,5668,tail,tail fiber protein
virus_comp_17808_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_17866_cycle_1_50,2538,head and packaging,terminase small subunit
virus_comp_17918_cycle_1_3,1428,connector,head-tail connector protein
virus_comp_17935_cycle_1_22,1218,DNA, RNA and nucleotide metabolism,exonuclease
virus_comp_17992_cycle_1_14,No_PHROG,unknown function,hypothetical protein
virus_comp_17992_cycle_1_15,8689,tail,pilot protein for DNA ejection
virus_comp_18095_cycle_1_1,2,head and packaging,terminase large subunit
virus_comp_18095_cycle_1_3,115,head and packaging,minor head protein
virus_comp_18095_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_18118_cycle_1_10,87,other,metallo-protease
virus_comp_18118_cycle_1_8,1468,transcription regulation,transcriptional repressor
virus_comp_18162_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_18162_cycle_1_5,21524,tail,tail protein with lysin activity
virus_comp_18162_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_18162_cycle_1_9,33,tail,distal tail protein Dit
virus_comp_18547_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1888_cycle_1_1,16496,head and packaging,portal protein
virus_comp_2080_cycle_1_8,894,lysis,endolysin
virus_comp_2119_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2195_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_2200_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2383_cycle_1_12,No_PHROG,unknown function,hypothetical protein
virus_comp_2383_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2393_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2394_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2394_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2396_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2396_cycle_1_9,8689,tail,pilot protein for DNA ejection
virus_comp_2438_cycle_1_11,514,head and packaging,major head protein
virus_comp_2438_cycle_1_12,No_PHROG,unknown function,hypothetical protein
virus_comp_2438_cycle_1_13,No_PHROG,unknown function,hypothetical protein
virus_comp_2438_cycle_1_14,No_PHROG,unknown function,hypothetical protein
virus_comp_2438_cycle_1_15,No_PHROG,unknown function,hypothetical protein
virus_comp_2438_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2438_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2475_cycle_5_1,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2475_cycle_5_12,No_PHROG,unknown function,hypothetical protein
virus_comp_2475_cycle_5_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2475_cycle_5_5,514,head and packaging,major head protein
virus_comp_2475_cycle_5_6,1642,head and packaging,virion structural protein
virus_comp_2476_cycle_1_3,1642,head and packaging,virion structural protein
virus_comp_2477_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2477_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2477_cycle_1_5,1670,DNA, RNA and nucleotide metabolism,DNA binding protein
virus_comp_2477_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2477_cycle_1_7,1642,head and packaging,virion structural protein
virus_comp_250_cycle_1_139,No_PHROG,unknown function,hypothetical protein
virus_comp_250_cycle_1_148,No_PHROG,unknown function,hypothetical protein
virus_comp_250_cycle_1_149,No_PHROG,unknown function,hypothetical protein
virus_comp_250_cycle_1_150,No_PHROG,unknown function,hypothetical protein
virus_comp_250_cycle_1_165,No_PHROG,unknown function,hypothetical protein
virus_comp_250_cycle_1_257,No_PHROG,unknown function,hypothetical protein
virus_comp_2559_cycle_1_3,1670,DNA, RNA and nucleotide metabolism,DNA binding protein
virus_comp_280_cycle_1_2,29507,head and packaging,virion structural protein
virus_comp_2945_cycle_1_6,1820,unknown function,hypothetical protein
