Row.names,phrog,function,product
edge_1468_12,30761,unknown function,hypothetical protein
edge_1468_14,No_PHROG,unknown function,hypothetical protein
edge_1468_16,16126,unknown function,hypothetical protein
edge_1468_32,62,DNA, RNA and nucleotide metabolism,DNA helicase
edge_1468_36,4210,DNA, RNA and nucleotide metabolism,DNA polymerase
edge_1468_39,No_PHROG,unknown function,hypothetical protein
edge_1468_40,16983,unknown function,hypothetical protein
edge_1468_41,No_PHROG,unknown function,hypothetical protein
edge_1468_42,4695,unknown function,hypothetical protein
edge_1468_43,No_PHROG,unknown function,hypothetical protein
edge_1468_44,No_PHROG,unknown function,hypothetical protein
edge_1468_45,14642,lysis,endolysin
edge_1468_49,15567,unknown function,hypothetical protein
edge_1468_50,No_PHROG,unknown function,hypothetical protein
edge_1468_55,No_PHROG,unknown function,hypothetical protein
edge_1468_57,10740,unknown function,hypothetical protein
edge_1468_58,18243,unknown function,hypothetical protein
edge_1468_62,15866,unknown function,hypothetical protein
edge_1468_66,11237,unknown function,hypothetical protein
edge_1468_68,27480,unknown function,hypothetical protein
edge_1468_71,No_PHROG,unknown function,hypothetical protein
edge_1468_72,13589,unknown function,hypothetical protein
edge_1468_74,4105,unknown function,hypothetical protein
edge_1468_75,1423,DNA, RNA and nucleotide metabolism,Reverse transcriptase
edge_1468_77,134,unknown function,hypothetical protein
edge_1468_83,4372,tail,tail length tape measure protein
edge_1476_1,4372,tail,tail length tape measure protein
edge_1476_10,25,connector,head closure Hc1
edge_1476_18,9,head and packaging,terminase large subunit
edge_1476_19,No_PHROG,unknown function,hypothetical protein
edge_1476_20,4247,head and packaging,virion structural protein
edge_1476_23,4259,unknown function,hypothetical protein
edge_1476_4,5,connector,tail completion or Neck1 protein
edge_1476_8,2645,tail,major tail protein
edge_1495_24,No_PHROG,unknown function,hypothetical protein
edge_16_5,4105,unknown function,hypothetical protein
edge_1627_22,No_PHROG,unknown function,hypothetical protein
edge_1631_2,No_PHROG,unknown function,hypothetical protein
edge_1631_4,No_PHROG,unknown function,hypothetical protein
edge_1631_5,No_PHROG,unknown function,hypothetical protein
edge_1631_7,29,head and packaging,major head protein
edge_1632_1,5,connector,tail completion or Neck1 protein
edge_1632_2,3377,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_1632_5,2115,tail,tail protein
edge_1633_14,599,moron, auxiliary metabolic gene and host takeover,Lar-like restriction alleviation protein
edge_1633_2,132,connector,head-tail adaptor
edge_1633_25,599,moron, auxiliary metabolic gene and host takeover,Lar-like restriction alleviation protein
edge_1845_43,No_PHROG,unknown function,hypothetical protein
edge_1847_1,No_PHROG,unknown function,hypothetical protein
edge_1847_2,298,DNA, RNA and nucleotide metabolism,exonuclease
edge_1847_24,No_PHROG,unknown function,hypothetical protein
edge_1847_3,No_PHROG,unknown function,hypothetical protein
edge_1847_32,No_PHROG,unknown function,hypothetical protein
edge_1847_33,7376,head and packaging,portal protein
edge_1847_4,No_PHROG,unknown function,hypothetical protein
edge_1847_41,8510,head and packaging,virion structural protein
edge_1847_43,8914,head and packaging,virion structural protein
edge_1847_8,1770,DNA, RNA and nucleotide metabolism,Holliday junction resolvase
edge_187_1,No_PHROG,unknown function,hypothetical protein
edge_187_3,67,other,DNA methyltransferase
edge_187_5,No_PHROG,unknown function,hypothetical protein
edge_1980_2,No_PHROG,unknown function,hypothetical protein
edge_1980_4,No_PHROG,unknown function,hypothetical protein
edge_1990_1,No_PHROG,unknown function,hypothetical protein
edge_2044_9,No_PHROG,unknown function,hypothetical protein
edge_2254_2,No_PHROG,unknown function,hypothetical protein
edge_2654_5,6700,lysis,endolysin
edge_2658_7,No_PHROG,unknown function,hypothetical protein
edge_284_1,51,head and packaging,terminase small subunit
edge_284_6,5824,unknown function,hypothetical protein
edge_311_11,No_PHROG,unknown function,hypothetical protein
edge_3278_3,No_PHROG,unknown function,hypothetical protein
edge_4_11,13246,DNA, RNA and nucleotide metabolism,replisome organizer
edge_4_12,50,DNA, RNA and nucleotide metabolism,DnaC-like helicase loader
edge_4_13,13941,unknown function,hypothetical protein
edge_4_16,19994,unknown function,hypothetical protein
edge_4_17,24381,unknown function,hypothetical protein
edge_4_2,30437,unknown function,hypothetical protein
edge_4_22,940,DNA, RNA and nucleotide metabolism,nuclease
edge_4_28,64,head and packaging,portal protein
edge_4_30,16625,moron, auxiliary metabolic gene and host takeover,Bxa ADP-ribosyl transferase
edge_4_37,No_PHROG,unknown function,hypothetical protein
edge_4_39,23198,unknown function,hypothetical protein
edge_4_40,20236,unknown function,hypothetical protein
edge_4_41,15742,unknown function,hypothetical protein
edge_4_42,No_PHROG,unknown function,hypothetical protein
edge_4_43,24140,unknown function,hypothetical protein
edge_4_44,No_PHROG,unknown function,hypothetical protein
edge_4_48,390,transcription regulation,Arc-like repressor
edge_4_49,16646,unknown function,hypothetical protein
edge_4_5,148,DNA, RNA and nucleotide metabolism,RecT-like ssDNA annealing protein
edge_4_51,5,connector,tail completion or Neck1 protein
edge_4_52,176,connector,tail terminator
edge_4_53,117,tail,major tail protein
edge_4_55,No_PHROG,unknown function,hypothetical protein
edge_4_56,9959,tail,tail length tape measure protein
edge_4_61,17180,unknown function,hypothetical protein
edge_4_63,5302,tail,tail protein
edge_4_68,No_PHROG,unknown function,hypothetical protein
edge_4_7,72,DNA, RNA and nucleotide metabolism,NinB/ Orf homologous recombination mediator
edge_4_70,No_PHROG,unknown function,hypothetical protein
edge_4_71,1,integration and excision,integrase
edge_61_6,379,DNA, RNA and nucleotide metabolism,DNA binding protein
edge_75_27,No_PHROG,unknown function,hypothetical protein
virus_comp_10080_cycle_1_1,2006,head and packaging,major head protein
virus_comp_104_cycle_1_3,376,tail,tail protein
virus_comp_1045_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1069_cycle_1_2,2150,head and packaging,terminase
virus_comp_10749_cycle_1_2,18293,other,methyltransferase
virus_comp_11007_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_2,6370,DNA, RNA and nucleotide metabolism,dsDNA binding protein
virus_comp_1102_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_11746_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_12035_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_12035_cycle_1_2,36964,head and packaging,terminase large subunit
virus_comp_122_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_12579_cycle_1_1,1373,transcription regulation,transcriptional regulator
virus_comp_126_cycle_1_211,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_217,No_PHROG,unknown function,hypothetical protein
virus_comp_1260_cycle_2_15,1907,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_1260_cycle_2_16,No_PHROG,unknown function,hypothetical protein
virus_comp_1260_cycle_2_18,2742,lysis,endolysin
virus_comp_1260_cycle_2_20,No_PHROG,unknown function,hypothetical protein
virus_comp_1260_cycle_2_21,No_PHROG,unknown function,hypothetical protein
virus_comp_135_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_138_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_138_cycle_1_2,37651,head and packaging,virion structural protein
virus_comp_1420_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_14666_cycle_1_3,749,unknown function,hypothetical protein
virus_comp_150_cycle_1_156,No_PHROG,unknown function,hypothetical protein
virus_comp_152_cycle_1_2,5429,DNA, RNA and nucleotide metabolism,DNA repair protein
virus_comp_152_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_152_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_152_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_152_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_152_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_15228_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1545_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_155_cycle_2_154,No_PHROG,unknown function,hypothetical protein
virus_comp_16174_cycle_1_1,5182,lysis,endolysin
virus_comp_163_cycle_1_23,No_PHROG,unknown function,hypothetical protein
virus_comp_16495_cycle_1_2,No_PHROG,unknown function,hypothetical protein
